WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,誘引物が原因の出没,誘引物と考えられるもの
POINT (136.5676618 36.4214416),1103,目撃,R2,R2.10.21,14時47分,能美市,能美市鍋谷町地内,鍋谷町の八幡神社付近の川沿いで、柿の木に登る体長1ｍほどのクマ1頭を目撃。,1,中央鍋谷,1.72E+09,5.44E+08,36.4214416,136.5676618,1,カキ
POINT (136.5633386 36.4212078),1118,目撃,R2,R2.10.22,15時50分,能美市,能美市鍋谷町地内,鍋谷町の照善寺の敷地内で、柿の木に登るクマ1頭を目撃。その後寺北側の山林へ移動。,1,中央鍋谷,1.72E+09,5.44E+08,36.4212078,136.5633386,1,カキ
POINT (136.5254101 36.4360269),1120,目撃,R2,R2.10.22,16時45分,能美市,能美市松が岡地内,松が岡３丁目付近の雑木林で、柿の木に登るクマ1頭を目撃。,1,荒屋,1.72E+09,5.44E+08,36.4360269,136.5254101,1,カキ
POINT (136.6413809 36.32032131),1127,目撃,R2,R2.10.23,6時00分頃,白山市,白山市三ツ屋野町地内,三ツ屋野町地内にある神社で幼獣１頭、柿の木で成獣１頭を目撃,2,三ツ屋野,1.72E+09,5.44E+08,36.32032131,136.6413809,1,カキ
POINT (136.698425 36.5202383),1147,目撃,R2,R2.10.24,15時10分頃,金沢市,金沢市銚子町,小クマ1頭を目撃,1,銚子口,1.72E+09,5.44E+08,36.5202383,136.698425,1,果樹園
POINT (136.73878 36.5294237),1148,目撃,R2,R2.10.24,15時45分頃,金沢市,金沢市湯谷原町,クマ2頭（親子）を湯谷原バス停付近で目撃,2,湯谷原,1.72E+09,5.44E+08,36.5294237,136.73878,1,魚、エサ
POINT (136.5758894 36.4194664),1149,目撃,R2,R2.10.24,16時15分,能美市,能美市鍋谷町地内,鍋谷町の奥鍋谷バス停付近の柿の木にいる、体長1ｍほどのクマ1頭を目撃,1,上区鍋谷,1.72E+09,5.44E+08,36.4194664,136.5758894,1,カキ
POINT (136.7234082 36.5065343),1150,目撃,R2,R2.10.24,17時00分頃,金沢市,金沢市朝加屋町,クマ1頭（成獣）が柿の木に登っているのを見つけた,1,朝加屋,1.72E+09,5.44E+08,36.5065343,136.7234082,1,カキ
POINT (136.5548371 36.442068),1157,目撃,R2,R2.10.25,7時20分,能美市,能美市湯屋町,集会所近くの民家の敷地で、柿の木に登るクマ1頭を目撃（その後、クマは東側の山のほうへ移動した旨の通報あり）,1,湯屋,1.72E+09,5.44E+08,36.442068,136.5548371,1,カキ
POINT (136.5536341 36.4429395),1187,目撃,R2,R2.10.27,17時00分,能美市,能美市湯屋町,湯屋町墓地周辺の柿の木に登る成獣のクマ1頭を目撃。,1,湯屋,1.72E+09,5.44E+08,36.4429395,136.5536341,1,カキ
POINT (136.7639303 36.4900211),1194,目撃,R2,R2.10.28,3時00分頃,金沢市,金沢市古郷町地内,クマ1頭（1.0ｍ程度）がカキの木から降りてきて、山へ移動する様子を目撃,1,古郷,1.72E+09,5.44E+08,36.4900211,136.7639303,1,カキ
POINT (136.6337083 36.42831917),1195,目撃,R2,R2.10.28,4時40分頃,白山市,白山市白山町地内,白山町交差点周辺にあるカキの木でクマ１頭を目撃,1,白山町,1.72E+09,5.44E+08,36.42831917,136.6337083,1,カキ
POINT (136.5533685 36.4419382),1209,目撃,R2,R2.10.29,2時45分,能美市,能美市湯屋町,湯屋町チ23番地付近の柿の木から北側のふれあい広場方面へ向かうクマ1頭を目撃,1,湯屋,1.72E+09,5.44E+08,36.4419382,136.5533685,1,カキ
POINT (136.5533685 36.4419382),1219,目撃,R2,R2.10.29,23時20分,能美市,能美市湯屋町,湯屋町チ23番地付近の柿の木付近でクマ1頭を目撃。,1,湯屋,1.72E+09,5.44E+08,36.4419382,136.5533685,1,カキ
POINT (136.5547948 36.4098085),1230,目撃,R2,R2.10.30,20時45分,能美市,能美市仏大寺町,仏大寺町の公民館裏の柿の木にいる子グマ1頭を目撃,1,仏大寺,1.72E+09,5.44E+08,36.4098085,136.5547948,1,カキ
POINT (136.5533481 36.4419789),1233,目撃,R2,R2.10.31,0時45分,能美市,能美市湯屋町,湯屋町チ23番地付近の柿の木にいる成獣のクマ1頭を目撃,1,湯屋,1.72E+09,5.44E+08,36.4419789,136.5533481,1,カキ
POINT (136.6984496 36.5215616),1251,目撃,R2,R2.11.1,8時00分頃,金沢市,金沢市銚子町地内,親グマ1頭、子グマ1頭がヤブの中へ入っていった,2,銚子口,1.72E+09,5.44E+08,36.5215616,136.6984496,1,果樹園
POINT (136.620054 36.46635809),1258,目撃,R2,R2.11.2,4時20分頃,白山市,白山市月橋町地内,月橋町地内の山際にあるカキの木でクマ１頭を目撃,1,月橋町,1.72E+09,5.44E+08,36.46635809,136.620054,1,カキ
POINT (136.6199817 36.46640354),1261,目撃,R2,R2.11.2,16時50分頃,白山市,白山市月橋町地内,月橋町地内の山際にあるカキの木でクマ１頭を目撃,1,月橋町,1.72E+09,5.44E+08,36.46640354,136.6199817,1,カキ
POINT (136.650368 36.5257669),1263,目撃,R2,R2.11.3,7時30分頃,金沢市,金沢市山科町地内,クマ1頭（1.0ｍ程度）が柿の木に登っていた。,1,山科町,1.72E+09,5.44E+08,36.5257669,136.650368,1,カキ
POINT (136.7085712 36.524603),1267,目撃,R2,R2.11.3,13時30分頃,金沢市,金沢市太陽が丘1丁目地内,クマ1頭（1.0ｍ程度）が柿の木に登っていた。そのあと、南側の山の中へ行った。,1,金川,1.72E+09,5.44E+08,36.524603,136.7085712,1,カキ
POINT (136.7788417 36.80965722),1289,目撃,R2,R2.11.5,17時00分頃,宝達志水町,宝達志水町上田地内,上田地内、宮田池付近の畑にクマ(1頭)らしきものを見たとの連絡。目撃者からは、近くの柿の枝が折れていたとの報告も受ける。,1,上田,1.74E+09,5.54E+08,36.80965722,136.7788417,1,カキ
POINT (136.5230097 36.4363772),1307,目撃,R2,R2.11.6,21時15分頃,能美市,能美市湯谷町地内,湯寿園裏の住宅の柿の木に登るクマ1頭を目撃,1,湯谷,1.72E+09,5.44E+08,36.4363772,136.5230097,1,カキ
POINT (136.7385328 36.5295203),1309,目撃,R2,R2.11.6,23時30分頃,金沢市,金沢市湯谷原町地内,クマ1頭を湯谷原バス停付近で目撃,1,湯谷原,1.72E+09,5.44E+08,36.5295203,136.7385328,1,魚、エサ
POINT (136.6925602 36.5234132),1327,目撃,R2,R2.11.9,20時40分頃,金沢市,金沢市土清水2丁目地内,クマ1頭（1.0ｍ程度）を目撃,1,土清水町,1.72E+09,5.44E+08,36.5234132,136.6925602,1,果樹園
POINT (136.811013 36.674127),1359,目撃,R2,R2.11.14,15時30分頃,津幡町,津幡町九折,九折地内の国道8号をくぐる付近でカキの木に登る子グマを目撃。体長１ｍほど,1,九折,1.74E+09,5.54E+08,36.674127,136.811013,1,カキ
POINT (136.634928 36.429154),1363,目撃,R2,R2.11.14,17時45分頃,白山市,白山市白山町地内,白山町地内にある柿の木でクマ１頭を目撃,1,白山町,1.72E+09,5.44E+08,36.429154,136.634928,1,カキ
POINT (136.64068 36.328644),1369,目撃,R2,R2.11.15,7時30分頃,白山市,白山市西佐良町地内,西佐良町地内にあるカキの木でクマ１頭を目撃,1,西佐良,1.72E+09,5.44E+08,36.328644,136.64068,1,カキ
POINT (136.6872048 36.5291488),1376,目撃,R2,R2.11.16,20時00分頃,金沢市,金沢市大桑町地内,クマ1頭（1.0ｍ程度）を道路付近で目撃,1,大桑,1.72E+09,5.44E+08,36.5291488,136.6872048,1,果樹園
POINT (136.3102184 36.329241),1378,目撃,R2,R2.11.17,6時30分,加賀市,加賀市高尾町,加賀市高尾町地内でクマ１頭を目撃,1,高尾,1.72E+09,5.44E+08,36.329241,136.3102184,1,果樹園
POINT (136.758071 36.5815909),1415,目撃,R2,R2.12.1,16時50分頃,金沢市,金沢市北方町地内,クマ1頭（1.2ｍ程度）が川沿いの柿の木に登っているのを目撃,1,北方,1.72E+09,5.44E+08,36.5815909,136.758071,1,カキ
POINT (136.7767627 36.86636264),1431,痕跡,R2,R2.6.18,,宝達志水町,宝達志水町柳瀬,養蜂箱がひっくり返されているのを発見。付近に目撃されておりいるクマの犯行ではないかと推測。足跡等はなし。,,柳瀬,1.74E+09,5.54E+08,36.86636264,136.7767627,1,はちみつ
POINT (136.6888085 36.5279912),1432,痕跡,R2,R2.6.23,,金沢市,金沢市大桑町地内,階段付近で糞の発見,,大桑,1.72E+09,5.44E+08,36.5279912,136.6888085,1,果樹園
POINT (136.6830043 36.5257531),1434,痕跡,R2,R2.8.12,,金沢市,金沢市大桑町地内,梨が食べられていた,,大桑,1.72E+09,5.44E+08,36.5257531,136.6830043,1,ナシ
POINT (136.6829753 36.5257607),1436,痕跡,R2,R2.8.16,,金沢市,金沢市大桑町地内,梨の木被害,,大桑,1.72E+09,5.44E+08,36.5257607,136.6829753,1,ナシ
